U-235(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.0781250 50.3027
0.0796875 49.7482
0.0812500 49.2137
0.0843750 48.2012
0.0875000 47.2583
0.0906250 46.3795
0.0937500 45.5603
0.0968750 44.7964
0.100000 44.0841
0.103655 43.3126
0.107309 42.6031
0.110964 41.9516
0.114618 41.3547
0.118273 40.8094
0.121927 40.3133
0.125582 39.8642
0.129236 39.4604
0.132891 39.1004
0.136545 38.7828
0.140200 38.5066
0.143854 38.2711
0.147509 38.0755
0.151163 37.9195
0.154818 37.8027
0.158472 37.7249
0.162261 37.6855
0.166051 37.6879
0.169840 37.7325
0.173630 37.8194
0.177419 37.9489
0.181209 38.1213
0.184998 38.3368
0.188788 38.5954
0.191591 38.8143
0.194394 39.0566
0.197197 39.3221
0.200000 39.6106
0.204273 40.0936
0.207211 40.4549
0.210149 40.8389
0.213087 41.2445
0.216024 41.6702
0.218962 42.1140
0.221900 42.5739
0.224838 43.0470
0.227775 43.5305
0.233651 44.5136
0.239527 45.4892
0.245402 46.4161
0.248340 46.8465
0.251278 47.2463
0.254065 47.5912
0.256852 47.8966
0.259640 48.1569
0.262427 48.3667
0.265215 48.5209
0.268002 48.6151
0.270790 48.6453
0.273577 48.6084
0.275530 48.5414
0.277482 48.4397
0.279435 48.3031
0.281387 48.1315
0.283177 47.9436
0.284967 47.7267
0.286757 47.4813
0.288547 47.2079
0.290337 46.9074
0.292127 46.5807
0.293916 46.2287
0.295706 45.8527
0.297496 45.4538
0.299286 45.0336
0.301076 44.5933
0.302866 44.1344
0.306445 43.1674
0.310025 42.1449
0.312466 41.4225
0.314907 40.6842
0.319788 39.1749
0.324669 37.6449
0.329551 36.1183
0.334432 34.6153
0.339314 33.1519
0.341755 32.4390
0.344195 31.7404
0.346636 31.0569
0.349077 30.3895
0.352299 29.5337
0.355521 28.7077
0.358744 27.9120
0.361966 27.1467
0.365188 26.4117
0.368410 25.7066
0.371633 25.0309
0.374855 24.3838
0.378042 23.7712
0.381228 23.1849
0.384415 22.6240
0.387601 22.0874
0.390788 21.5743
0.393974 21.0835
0.397161 20.6140
0.400348 20.1650
0.403534 19.7354
0.406721 19.3243
0.409907 18.9309
0.413094 18.5541
0.416280 18.1933
0.419467 17.8477
0.422654 17.5164
0.425840 17.1987
0.429027 16.8938
0.432213 16.6012
0.435400 16.3202
0.438586 16.0502
0.441773 15.7906
0.444959 15.5410
0.448146 15.3008
0.451333 15.0695
0.454519 14.8468
0.457706 14.6323
0.460892 14.4254
0.464079 14.2260
0.467265 14.0335
0.470452 13.8478
0.473639 13.6684
0.476825 13.4952
0.480301 13.3129
0.483778 13.1372
0.487254 12.9680
0.490730 12.8048
0.500000 12.3969
0.515625 11.7853
0.531250 11.2534
0.546875 10.7892
0.562500 10.3817
0.578125 10.0224
0.593750 9.70441
0.609375 9.42237
0.625000 9.17202
0.640625 8.95002
0.656250 8.75374
0.671875 8.58113
0.687500 8.43068
0.703125 8.30131
0.718750 8.19235
0.734375 8.10349
0.750000 8.03481
0.765625 7.98678
0.781250 7.96027
0.804688 7.96391
0.828125 8.02596
0.839844 8.08198
0.851563 8.15684
0.863281 8.25264
0.875000 8.37184
0.890625 8.57207
0.906250 8.82715
0.916992 9.04065
0.927734 9.29109
0.938477 9.58402
0.949219 9.92596
0.959961 10.3249
0.970703 10.7906
0.981445 11.3349
0.986817 11.6408
0.992188 11.9719
1.00000 12.5030
1.00818 13.1301
1.01637 13.8394
1.02455 14.6421
1.03273 15.5503
1.04092 16.5769
1.04501 17.1387
1.04910 17.7348
1.05319 18.3669
1.05728 19.0361
1.06546 20.4900
1.07340 22.0489
1.08133 23.7496
1.08926 25.5747
1.09719 27.4900
1.10512 29.4415
1.11305 31.3526
1.11702 32.2638
1.12098 33.1272
1.12495 33.9293
1.12891 34.6554
1.13222 35.1927
1.13552 35.6600
1.13883 36.0506
1.14213 36.3581
1.14544 36.5780
1.14874 36.7062
1.15205 36.7406
1.15535 36.6801
1.15899 36.5048
1.16262 36.2183
1.16626 35.8254
1.16989 35.3329
1.17353 34.7487
1.17716 34.0827
1.18443 32.5468
1.19170 30.8129
1.19897 28.9678
1.20624 27.0888
1.20988 26.1571
1.21351 25.2394
1.21829 24.0636
1.22307 22.9318
1.22785 21.8515
1.23263 20.8278
1.23740 19.8641
1.24218 18.9624
1.24696 18.1231
1.25174 17.3456
1.25690 16.5727
1.26207 15.8670
1.26724 15.2240
1.27240 14.6379
1.27757 14.1009
1.28273 13.6047
1.28790 13.1400
1.29306 12.6978
1.29738 12.3397
1.30600 11.6388
1.31463 10.9476
1.32108 10.4387
1.32754 9.94454
1.33399 9.47338
1.34044 9.03251
1.34690 8.62634
1.35335 8.25649
1.35981 7.92200
1.36626 7.62029
1.37142 7.40064
1.37657 7.19778
1.38172 7.01002
1.39203 6.67338
1.40233 6.38002
1.41263 6.12195
1.42294 5.89305
1.43324 5.68867
1.44355 5.50515
1.45385 5.33960
1.46931 5.11999
1.48477 4.92946
1.49894 4.77585
1.51310 4.63908
1.52727 4.51695
1.54144 4.40782
1.55561 4.31026
1.56978 4.22306
1.58395 4.14525
1.59812 4.07602
1.62646 3.96104
1.65479 3.87498
1.68313 3.81690
1.69730 3.79867
1.71147 3.78813
1.72693 3.78612
1.74238 3.79506
1.75784 3.81636
1.77330 3.85212
1.78360 3.88552
1.79391 3.92797
1.80421 3.98093
1.81452 4.04616
1.82482 4.12586
1.83513 4.22284
1.84543 4.34075
1.85574 4.48437
1.86346 4.61277
1.87119 4.76272
1.87892 4.93871
1.88665 5.14639
1.89051 5.26435
1.89438 5.39312
1.89824 5.53399
1.90211 5.68845
1.90597 5.85823
1.90984 6.04525
1.91370 6.25189
1.91756 6.48089
1.92143 6.73558
1.92529 7.01967
1.92916 7.33794
1.93302 7.69571
1.93656 8.06419
1.94011 8.47744
1.94365 8.94273
1.94719 9.46853
1.95073 10.0650
1.95250 10.3931
1.95428 10.7433
1.95605 11.1173
1.95782 11.5171
