U-235(n, g + total fission) ENDFB-8.0
Energy(eV) XS(b)
0.0875 329.523
0.090625 322.357
0.09375 315.587
0.096875 309.183
0.1 303.123
0.103655 296.441
0.107309 290.167
0.110964 284.273
0.114618 278.733
0.118273 273.525
0.121927 268.632
0.125582 264.036
0.129236 259.723
0.132891 255.68
0.136545 251.896
0.1402 248.361
0.143854 245.067
0.147509 242.007
0.151163 239.174
0.154818 236.565
0.158472 234.175
0.162261 231.924
0.166051 229.904
0.16984 228.111
0.17363 226.546
0.177419 225.208
0.181209 224.097
0.184998 223.214
0.188788 222.557
0.191591 222.218
0.194394 222.005
0.197197 221.915
0.2 221.95
0.204273 222.241
0.207211 222.605
0.210149 223.101
0.213087 223.727
0.216024 224.477
0.218962 225.348
0.2219 226.333
0.224838 227.424
0.227775 228.613
0.233651 231.236
0.239527 234.089
0.245402 237.03
0.24834 238.48
0.251278 239.885
0.254065 241.152
0.256852 242.332
0.25964 243.4
0.262427 244.335
0.265215 245.113
0.268002 245.714
0.27079 246.117
0.273577 246.306
0.27553 246.303
0.277482 246.184
0.279435 245.944
0.281387 245.583
0.283177 245.141
0.284967 244.594
0.286757 243.942
0.288547 243.185
0.290337 242.324
0.292127 241.362
0.293916 240.299
0.295706 239.14
0.297496 237.887
0.299286 236.545
0.301076 235.115
0.302866 233.605
0.306445 230.36
0.310025 226.85
0.312466 224.326
0.314907 221.712
0.319788 216.27
0.324669 210.629
0.329551 204.882
0.334432 199.113
0.339314 193.391
0.341755 190.566
0.344195 187.771
0.346636 185.015
0.349077 182.299
0.352299 178.783
0.355521 175.352
0.358744 172.011
0.361966 168.763
0.365188 165.611
0.36841 162.556
0.371633 159.597
0.374855 156.736
0.378042 153.999
0.381228 151.354
0.384415 148.799
0.387601 146.331
0.390788 143.948
0.393974 141.648
0.397161 139.427
0.400348 137.282
0.403534 135.211
0.406721 133.212
0.409907 131.281
0.413094 129.415
0.41628 127.613
0.419467 125.871
0.422654 124.186
0.42584 122.557
0.429027 120.981
0.432213 119.455
0.4354 117.977
0.438586 116.546
0.441773 115.159
0.444959 113.814
0.448146 112.51
0.451333 111.245
0.454519 110.018
0.457706 108.826
0.460892 107.669
0.464079 106.544
0.467265 105.451
0.470452 104.389
0.473639 103.356
0.476825 102.351
0.480301 101.286
0.483778 100.252
0.487254 99.2481
0.49073 98.2733
0.5 95.8051
0.515625 92.0181
0.53125 88.6333
0.546875 85.6006
0.5625 82.8724
0.578125 80.4095
0.59375 78.1801
0.609375 76.1587
0.625 74.3244
0.640625 72.6603
0.65625 71.1529
0.671875 69.7911
0.6875 68.5664
0.703125 67.4723
0.71875 66.5042
0.734375 65.6593
0.75 64.9363
0.765625 64.336
0.78125 63.8609
0.804688 63.3932
0.828125 63.2426
0.839844 63.2978
0.851563 63.4483
0.863281 63.7021
0.875 64.0684
0.890625 64.7499
0.90625 65.6798
0.916992 66.4867
0.927734 67.4516
0.938477 68.5938
0.949219 69.9354
0.959961 71.5029
0.970703 73.3283
0.981445 75.4486
0.986817 76.6325
0.992188 77.9068
1 79.9349
1.00818 82.3025
1.01637 84.945
1.02455 87.8895
1.03273 91.1627
1.04092 94.7887
1.04501 96.7403
1.0491 98.7858
1.05319 100.927
1.05728 103.161
1.06546 107.903
1.0734 112.812
1.08133 117.952
1.08926 123.203
1.09719 128.384
1.10512 133.251
1.11305 137.496
1.11702 139.277
1.12098 140.771
1.12495 141.934
1.12891 142.725
1.13222 143.073
1.13552 143.119
1.13883 142.848
1.14213 142.251
1.14544 141.322
1.14874 140.061
1.15205 138.474
1.15535 136.57
1.15899 134.127
1.16262 131.346
1.16626 128.26
1.16989 124.905
1.17353 121.32
1.17716 117.551
1.18443 109.629
1.1917 101.471
1.19897 93.3774
1.20624 85.5834
1.20988 81.8549
1.21351 78.2603
1.21829 73.7573
1.22307 69.5241
1.22785 65.5694
1.23263 61.896
1.2374 58.5018
1.24218 55.3818
1.24696 52.5288
1.25174 49.9349
1.2569 47.4124
1.26207 45.1733
1.26724 43.2074
1.2724 41.5033
1.27757 40.0454
1.28273 38.8142
1.2879 37.7832
1.29306 36.9196
1.29738 36.2989
1.306 35.2321
1.31463 34.2541
1.32108 33.5045
1.32754 32.7132
1.33399 31.8811
1.34044 31.0249
1.3469 30.168
1.35335 29.3332
1.35981 28.5379
1.36626 27.7932
1.37142 27.2382
1.37657 26.7188
1.38172 26.234
1.39203 25.3609
1.40233 24.6019
1.41263 23.9398
1.42294 23.3587
1.43324 22.8455
1.44355 22.3895
1.45385 21.9817
1.46931 21.4454
1.48477 20.9828
1.49894 20.6101
1.5131 20.2771
1.52727 19.9773
1.54144 19.7059
1.55561 19.4591
1.56978 19.2334
1.58395 19.0261
1.59812 18.8352
1.62646 18.4958
1.65479 18.2061
1.68313 17.9612
1.6973 17.8553
1.71147 17.7606
1.72693 17.6709
1.74238 17.5967
1.75784 17.5394
1.7733 17.5016
1.7836 17.4892
1.79391 17.4888
1.80421 17.502
1.81452 17.5315
1.82482 17.5796
1.83513 17.65
1.84543 17.7476
1.85574 17.878
1.86346 18.0024
1.87119 18.1543
1.87892 18.3396
1.88665 18.5653
1.89051 18.6961
1.89438 18.8408
1.89824 19.0009
1.90211 19.1782
1.90597 19.3752
1.90984 19.5941
1.9137 19.8379
1.91756 20.1103
1.92143 20.4153
1.92529 20.7578
1.92916 21.1436
1.93302 21.5799
1.93656 22.0313
1.94011 22.5397
1.94365 23.1143
1.94719 23.7659
1.95073 24.5074
1.9525 24.9161
1.95428 25.353
1.95605 25.8202
1.95782 26.3201
1.95959 26.8552
1.96136 27.4282
1.96305 28.0132
1.96474 28.6379
1.96643 29.3048
1.96812 30.0162
1.96981 30.7758
1.9715 31.5854
1.97319 32.4489
1.97488 33.3678
1.97658 34.3461
1.97827 35.3849
1.97996 36.4879
1.98165 37.6557
1.98334 38.8915
1.98503 40.1949
1.98672 41.5683
1.98841 43.0102
1.99131 45.6422
1.9942 48.4681
1.9971 51.4722
2 54.63
2.005 60.3363
2.01 66.1566
2.01516 71.9509
2.01774 74.6451
2.02032 77.134
2.0229 79.3687
2.02548 81.3002
2.02806 82.8857
2.03064 84.0883
2.03223 84.6262
2.03382 85.0033
2.03541 85.216
2.03699 85.2625
2.03978 84.9416
2.04257 84.117
2.04536 82.8114
2.04815 81.0605
2.05134 78.5737
2.05453 75.6498
2.05821 71.8443
2.06189 67.7267
2.06926 59.1229
2.07255 55.3393
2.07583 51.6887
2.07912 48.2232
2.0824 44.9807
2.08569 41.982
2.08733 40.5779
2.08897 39.2391
2.09062 37.9638
2.09226 36.7527
2.0939 35.6033
2.09554 34.5155
2.09719 33.4862
2.09883 32.5146
2.10047 31.5974
2.10211 30.7332
2.10376 29.9187
2.1054 29.1523
2.10704 28.4306
2.10868 27.7522
2.11033 27.1136
2.11197 26.5132
2.11361 25.9482
2.11525 25.4168
2.1169 24.9163
2.11854 24.4454
2.12182 23.5834
2.12511 22.8166
2.12839 22.1327
2.13168 21.5209
2.13496 20.9718
2.13735 20.6071
2.14064 20.1476
2.14392 19.7314
2.14721 19.3529
2.15049 19.0077
2.15378 18.6919
2.15706 18.402
2.16035 18.135
2.16363 17.8886
2.16692 17.6606
2.1702 17.4489
2.17349 17.2519
2.17677 17.0684
2.18334 16.7362
2.18991 16.4436
2.19558 16.2178
2.20126 16.013
2.20693 15.8264
2.21261 15.6556
2.21828 15.4985
2.22395 15.3534
2.2353 15.0938
2.24665 14.8676
2.258 14.6679
2.26935 14.4897
2.28069 14.3291
2.29025 14.2051
2.3022 14.062
2.31414 13.93
2.32609 13.8073
2.33803 13.6921
2.36192 13.4801
2.38581 13.286
2.4097 13.1041
2.43359 12.9295
2.45749 12.7578
2.48138 12.5849
2.51004 12.37
2.53871 12.1395
2.55305 12.0157
2.56738 11.8849
2.58172 11.7462
2.59605 11.5991
2.60809 11.4694
2.62013 11.3354
2.63217 11.1998
2.64421 11.0679
2.65625 10.9491
2.66829 10.8583
2.68034 10.8183
2.68636 10.8272
2.69238 10.8617
2.69734 10.9134
2.70231 10.9896
2.70728 11.0936
2.71225 11.2287
2.71691 11.3863
2.72157 11.5762
2.72623 11.8
2.73088 12.059
2.73554 12.3537
2.7402 12.6835
2.74486 13.0473
2.74952 13.4428
2.75634 14.0727
2.76317 14.7502
2.76999 15.4591
2.77681 16.1812
2.78364 16.8978
2.79046 17.5918
2.79728 18.2486
