U-238(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.0718750 1.60029
0.0750000 1.56718
0.0781250 1.53608
0.0812500 1.50680
0.0843750 1.47917
0.0875000 1.45305
0.0906250 1.42830
0.0937500 1.40481
0.0968750 1.38248
0.100000 1.36121
0.103125 1.34093
0.106250 1.32156
0.109375 1.30303
0.112500 1.28529
0.115625 1.26828
0.118750 1.25195
0.121875 1.23627
0.125000 1.22118
0.128125 1.20666
0.131250 1.19267
0.134375 1.17919
0.137500 1.16619
0.143750 1.14147
0.150000 1.11831
0.156250 1.09656
0.162500 1.07611
0.168750 1.05682
0.175000 1.03859
0.181250 1.02133
0.187500 1.00497
0.193750 0.989422
0.200000 0.974644
0.209375 0.953753
0.218750 0.934229
0.228125 0.915949
0.237500 0.898794
0.246875 0.882656
0.256250 0.867440
0.265625 0.853065
0.275000 0.839457
0.284375 0.826554
0.293750 0.814298
0.303125 0.802639
0.312500 0.791532
0.321875 0.780936
0.331250 0.770815
0.340625 0.761136
0.350000 0.751868
0.359375 0.742986
0.368750 0.734464
0.378125 0.726280
0.387500 0.718414
0.396875 0.710854
0.406250 0.703590
0.425000 0.689824
0.443750 0.676975
0.462500 0.664979
0.500000 0.643262
0.531250 0.627126
0.562500 0.612463
0.625000 0.586921
0.687500 0.565459
0.750000 0.547219
0.812500 0.531582
0.875000 0.518125
0.937500 0.506455
1.00000 0.496268
1.06250 0.487391
1.12500 0.479654
1.25000 0.467077
1.37500 0.457711
1.50000 0.450991
1.62500 0.446525
1.75000 0.444066
1.87500 0.443393
2.00000 0.444332
2.13104 0.447028
2.26209 0.451556
2.39313 0.457691
2.52418 0.465530
2.65522 0.475139
2.78626 0.486627
2.91731 0.500162
3.04835 0.515984
3.17004 0.533007
3.29172 0.552504
3.41340 0.574243
3.53509 0.599405
3.65677 0.628106
3.77845 0.660963
3.90014 0.698759
3.96098 0.719840
4.02182 0.742656
4.09202 0.771604
4.16222 0.804221
4.19733 0.822608
4.23243 0.843683
4.24998 0.855931
4.26753 0.870307
4.28508 0.888844
4.29385 0.901136
4.30263 0.917059
4.30731 0.927738
4.31199 0.940481
4.31667 0.955827
4.32135 0.974404
4.32603 0.996928
4.33071 1.02417
4.33539 1.05693
4.34007 1.09593
4.34446 1.13874
4.34885 1.18792
4.35323 1.24354
4.35762 1.30535
4.36201 1.37273
4.36640 1.44455
4.37517 1.59504
4.38219 1.71231
4.38570 1.76632
4.38921 1.81543
4.39272 1.85838
4.39624 1.89393
4.39975 1.92111
4.40326 1.93914
4.40748 1.94805
4.41029 1.94614
4.41311 1.93801
4.41592 1.92386
4.41873 1.90403
4.42185 1.87586
4.42498 1.84193
4.42810 1.80305
4.43122 1.76013
4.43604 1.68805
4.44087 1.61206
4.45052 1.46106
4.45620 1.37946
4.46187 1.30671
4.46471 1.27410
4.46755 1.24416
4.47039 1.21686
4.47323 1.19219
4.47663 1.16591
4.48004 1.14310
4.48344 1.12348
4.48685 1.10679
4.49026 1.09274
4.49366 1.08102
4.50047 1.06347
4.50501 1.05531
4.50955 1.04935
4.51608 1.04378
4.52261 1.04083
4.53567 1.04003
4.54872 1.04323
4.56178 1.04867
4.58789 1.06326
4.61400 1.08076
4.66623 1.12115
4.71845 1.16716
4.77067 1.21780
4.82290 1.27300
4.87512 1.33297
4.92734 1.39883
4.96367 1.44842
5.00000 1.50138
5.05844 1.59413
5.11687 1.69734
5.17531 1.81278
5.20453 1.87569
5.23375 1.94244
5.26296 2.01334
5.29218 2.08874
5.32140 2.16894
5.35062 2.25427
5.37984 2.34526
5.40905 2.44272
5.43827 2.54729
5.46749 2.65957
5.50320 2.80828
5.53891 2.97114
5.57462 3.15001
5.61033 3.34706
5.64604 3.56486
5.68176 3.80646
5.71747 4.07548
5.73532 4.22159
5.75318 4.37624
5.78564 4.68163
5.81811 5.02231
5.83434 5.20764
5.85057 5.40402
5.86680 5.61234
5.88303 5.83362
5.89927 6.06895
5.91550 6.31951
5.93173 6.58662
5.94796 6.87172
5.96420 7.17647
5.98043 7.50274
5.99666 7.85279
6.01289 8.22912
6.03075 8.67683
6.04860 9.16386
6.06646 9.69498
6.08431 10.2755
6.10217 10.9119
6.12003 11.6115
6.13788 12.3831
6.15574 13.2369
6.17359 14.1854
6.19145 15.2429
6.20037 15.8181
6.20930 16.4274
6.21823 17.0736
6.22716 17.7598
6.23609 18.4896
6.24501 19.2665
6.25394 20.0949
6.26287 20.9792
6.27180 21.9249
6.28072 22.9378
6.28965 24.0244
6.29858 25.1920
6.31157 27.0532
6.31806 28.0643
6.32455 29.1349
6.33348 30.7131
6.34241 32.4272
6.35134 34.2937
6.36026 36.3314
6.36919 38.5629
6.37812 41.0137
6.38705 43.7143
6.39597 46.7003
6.40490 50.0154
6.41383 53.7108
6.41829 55.7202
6.42276 57.8491
6.42722 60.1077
6.43168 62.5066
6.43615 65.0593
6.44061 67.7792
6.44508 70.6822
6.44954 73.7852
6.45400 77.1098
6.45847 80.6782
6.46293 84.5166
6.46739 88.6544
6.47105 92.2888
6.47470 96.1687
6.47653 98.2099
6.47835 100.321
6.48018 102.508
6.48200 104.774
6.48383 107.124
6.48566 109.561
6.48748 112.091
6.48931 114.720
6.49114 117.453
6.49296 120.296
6.49479 123.258
6.49661 126.344
6.49803 128.838
6.49945 131.415
6.50087 134.081
6.50229 136.841
6.50372 139.702
6.50514 142.665
6.50656 145.739
6.50798 148.929
6.50894 151.165
6.50990 153.459
6.51087 155.815
6.51183 158.235
6.51280 160.721
6.51376 163.277
6.51472 165.904
6.51569 168.604
6.51690 172.127
6.51812 175.782
6.51924 179.254
6.52035 182.849
6.52147 186.572
6.52258 190.429
6.52370 194.428
6.52482 198.576
6.52593 202.880
6.52705 207.349
6.52801 211.348
6.52898 215.482
6.52994 219.757
6.53090 224.180
6.53187 228.757
6.53283 233.495
6.53380 238.401
6.53476 243.478
6.53588 249.592
6.53699 255.966
6.53811 262.614
6.53922 269.549
6.54034 276.788
6.54146 284.345
6.54257 292.239
6.54369 300.478
6.54480 309.096
6.54592 318.105
6.54703 327.525
6.54815 337.377
6.54927 347.682
6.55038 358.465
6.55150 369.749
6.55261 381.558
6.55373 393.918
6.55485 406.857
6.55596 420.402
6.55708 434.583
6.55819 449.428
6.55931 464.969
6.56043 481.239
6.56154 498.253
6.56266 516.078
6.56377 534.732
6.56489 554.252
6.56601 574.675
6.56712 596.038
6.56824 618.380
6.56935 641.740
6.57047 666.158
6.57159 691.675
6.57270 718.332
6.57382 746.171
6.57493 775.235
6.57605 805.565
6.57717 837.205
6.57828 870.198
6.57940 904.587
6.58051 940.414
6.58163 977.723
6.58275 1016.56
6.58386 1056.95
6.58498 1098.95
6.58609 1142.60
6.58721 1187.94
6.58833 1234.99
6.58944 1283.81
6.59056 1334.42
6.59167 1386.86
6.59279 1441.15
6.59502 1555.43
6.59725 1677.39
6.59938 1801.24
6.60151 1932.31
6.60364 2070.76
6.60577 2216.43
6.60791 2369.39
6.61004 2529.33
6.61217 2696.20
6.61430 2869.55
6.61653 3057.82
6.61876 3252.36
6.62099 3452.54
6.62322 3657.56
6.62769 4079.29
6.63215 4509.62
6.63662 4939.63
6.64108 5359.13
6.64554 5757.50
6.65001 6123.58
6.65447 6446.56
6.65670 6588.72
6.65893 6716.39
6.66126 6832.93
6.66358 6931.65
6.66591 7011.66
6.66823 7072.24
6.67126 7121.10
6.67428 7135.35
6.67504 7133.47
6.67750 7112.35
6.67995 7068.49
6.68241 7002.37
6.68487 6914.71
6.68740 6803.02
6.68992 6670.75
6.69245 6519.26
6.69497 6350.13
6.69760 6157.46
6.70022 5949.73
6.70285 5728.95
6.70548 5497.50
6.71073 5011.14
6.71598 4508.39
6.72218 3915.09
6.72529 3625.70
6.72839 3344.57
6.73102 3114.48
6.73364 2892.76
6.73627 2680.26
6.73889 2477.72
6.74152 2285.51
6.74414 2104.09
6.74677 1933.52
6.74939 1773.96
6.75202 1625.21
6.75465 1487.21
6.75727 1359.55
6.75990 1241.97
6.76252 1133.97
6.76384 1083.43
6.76515 1035.15
6.76646 988.991
6.76777 944.927
6.76909 902.891
6.77040 862.844
6.77231 807.901
6.77422 756.776
6.77613 709.206
6.77804 665.036
6.77995 624.016
6.78186 585.992
6.78377 550.731
6.78567 518.087
6.78758 487.846
6.78949 459.872
6.79140 433.972
6.79331 410.020
6.79522 387.846
6.79713 367.337
6.79904 348.343
6.80095 330.764
6.80358 308.672
6.80620 288.760
6.80883 270.786
6.81145 254.539
6.81408 239.815
6.81670 226.451
6.81933 214.285
6.82196 203.190
6.82458 193.039
6.82721 183.734
6.82983 175.175
6.83246 167.287
6.83508 159.994
6.83771 153.237
6.84033 146.957
6.84296 141.110
6.84559 135.649
6.84821 130.540
6.85084 125.749
6.85346 121.249
6.85609 117.012
6.85871 113.017
6.86396 105.673
6.86922 99.0798
6.87447 93.1295
6.87972 87.7339
6.88497 82.8206
6.88927 79.1167
6.89356 75.6684
